17:06:22 DEBUG : Logs will be stored at '/home/dewsjoe/Desktop/projects_2022.1/projects_ldg/wspace_ldg_2/IDE.log'.
17:06:23 INFO  : Launching XSCT server: xsct -n  -interactive /home/dewsjoe/Desktop/projects_2022.1/projects_ldg/wspace_ldg_2/temp_xsdb_launch_script.tcl
17:06:23 INFO  : Registering command handlers for Vitis TCF services
17:06:24 INFO  : Platform repository initialization has completed.
17:06:26 INFO  : XSCT server has started successfully.
17:06:26 INFO  : plnx-install-location is set to ''
17:06:26 INFO  : Successfully done setting XSCT server connection channel  
17:06:26 INFO  : Successfully done query RDI_DATADIR 
17:06:26 INFO  : Successfully done setting workspace for the tool. 
17:09:23 INFO  : Result from executing command 'getProjects': vck190_platform_2
17:09:23 INFO  : Result from executing command 'getPlatforms': xilinx_vck190_base_202210_1|/media/dewsjoe/Data/Vitis_2022_1/Vitis/2022.1/base_platforms/xilinx_vck190_base_202210_1/xilinx_vck190_base_202210_1.xpfm;xilinx_vck190_base_dfx_202210_1|/media/dewsjoe/Data/Vitis_2022_1/Vitis/2022.1/base_platforms/xilinx_vck190_base_dfx_202210_1/xilinx_vck190_base_dfx_202210_1.xpfm;xilinx_zcu102_base_202210_1|/media/dewsjoe/Data/Vitis_2022_1/Vitis/2022.1/base_platforms/xilinx_zcu102_base_202210_1/xilinx_zcu102_base_202210_1.xpfm;xilinx_zcu102_base_dfx_202210_1|/media/dewsjoe/Data/Vitis_2022_1/Vitis/2022.1/base_platforms/xilinx_zcu102_base_dfx_202210_1/xilinx_zcu102_base_dfx_202210_1.xpfm;xilinx_zcu104_base_202210_1|/media/dewsjoe/Data/Vitis_2022_1/Vitis/2022.1/base_platforms/xilinx_zcu104_base_202210_1/xilinx_zcu104_base_202210_1.xpfm
17:13:09 INFO  : Result from executing command 'getProjects': vck190_platform_2
17:13:09 INFO  : Result from executing command 'getPlatforms': vck190_platform_2|/home/dewsjoe/Desktop/projects_2022.1/projects_ldg/wspace_ldg_2/vck190_platform_2/export/vck190_platform_2/vck190_platform_2.xpfm;xilinx_vck190_base_202210_1|/media/dewsjoe/Data/Vitis_2022_1/Vitis/2022.1/base_platforms/xilinx_vck190_base_202210_1/xilinx_vck190_base_202210_1.xpfm;xilinx_vck190_base_dfx_202210_1|/media/dewsjoe/Data/Vitis_2022_1/Vitis/2022.1/base_platforms/xilinx_vck190_base_dfx_202210_1/xilinx_vck190_base_dfx_202210_1.xpfm;xilinx_zcu102_base_202210_1|/media/dewsjoe/Data/Vitis_2022_1/Vitis/2022.1/base_platforms/xilinx_zcu102_base_202210_1/xilinx_zcu102_base_202210_1.xpfm;xilinx_zcu102_base_dfx_202210_1|/media/dewsjoe/Data/Vitis_2022_1/Vitis/2022.1/base_platforms/xilinx_zcu102_base_dfx_202210_1/xilinx_zcu102_base_dfx_202210_1.xpfm;xilinx_zcu104_base_202210_1|/media/dewsjoe/Data/Vitis_2022_1/Vitis/2022.1/base_platforms/xilinx_zcu104_base_202210_1/xilinx_zcu104_base_202210_1.xpfm
17:13:13 INFO  : Checking for BSP changes to sync application flags for project 'helo_world_a72_2'...
